用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
76793,刺客,134963,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第17-20集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,2.35GB,HDSWEB,电视剧分集,2K/1080p,4,,,,,2020-05-01 20:36:01,8000,,,2020-05-11 23:47:37.741845
76793,刺客,134965,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第17-20集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,5.98GB,HDSWEB,电视剧分集,4k/2160p,4,,,,,2020-05-01 20:37:21,8000,,,2020-05-11 23:47:37.741845
76793,刺客,135012,Back To Field S04 2020 WEB-DL 1080p H264 AAC-HDSWEB,向往的生活第四季 / 向往的生活4 先导片 第20200501期 | 主演：何炅 黄磊 张子枫 彭昱畅 [无台标],0.89GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-02 07:48:03,2000,,,2020-05-11 23:47:37.741845
76793,刺客,135013,The Secret Life Of Kids 2020 WEB-DL 1080p H264 AAC-HDSWEB,小孩的神秘生活 全8集 | 主演：昂米诺 白曼可,6.07GB,HDSWEB,纪录片,2K/1080p,,,8,,,2020-05-02 08:10:46,8000,,,2020-05-11 23:47:37.741845
76793,刺客,135022,Real Estate Agents 2020 WEB-DL 1080p H264 AAC-HDSWEB,中间人生 全6集 [中国首部房产经纪人职业纪录片],1.49GB,HDSWEB,纪录片,2K/1080p,,,6,,,2020-05-02 09:41:07,6000,,,2020-05-11 23:47:37.741845
76793,刺客,135023,Real Estate Agents 2020 WEB-DL 4k H265 AAC-HDSWEB,中间人生 全6集 [中国首部房产经纪人职业纪录片],2.46GB,HDSWEB,纪录片,4k/2160p,,,6,,,2020-05-02 09:45:13,9000,,,2020-05-11 23:47:37.741845
76793,刺客,135102,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第21-22集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.32GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-02 20:20:49,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135103,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第21-22集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,2.99GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-02 20:21:48,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135156,Girlfriend 2020 WEB-DL 1080p H264 AAC-HDSWEB,楼下女友请签收 第25-28集 | 主演：王冠逸 徐好,3.71GB,HDSWEB,电视剧分集,2K/1080p,4,,,,,2020-05-03 10:00:41,8000,,,2020-05-11 23:47:37.741845
76793,刺客,135201,My Little One S02 2020 WEB-DL 1080p H264 AAC-HDSWEB,我家那闺女第二季 第20200501期+Plus版第20200502期 | 主演:宋茜 王鸥  [无台标],3.58GB,HDSWEB,综艺,2K/1080p,2,,,,,2020-05-03 19:42:40,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135202,The Sweet Love Story 2020 WEB-DL 1080p H264 AAC-HDSWEB,致我们甜甜的小美满 第19-22集 | 主演：龚俊 刘人语,2.32GB,HDSWEB,电视剧分集,2K/1080p,4,,,,,2020-05-03 19:55:20,8000,,,2020-05-11 23:47:37.741845
76793,刺客,135204,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第23-24集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.31GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-03 20:09:11,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135205,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第23-24集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,2.96GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-03 20:20:32,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135251,Girlfriend 2020 WEB-DL 1080p H264 AAC-HDSWEB,楼下女友请签收 第29-30集 | 主演：王冠逸 徐好,1.82GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-04 07:49:36,4000,,,2020-05-11 23:47:37.741845
76793,刺客,135283,My Husband In Law 2020 WEB-DL 1080p H264 AAC 2Auido-HDSWEB,泰剧 法定丈夫 / 我的法定老公 第01-09集 | 主演：普林·苏帕拉 尼塔莎·吉拉尤吉恩 [国泰双语],4.56GB,HDSWEB,电视剧分集,2K/1080p,9,,,是,,2020-05-04 13:16:04,18000,,,2020-05-11 23:47:37.741845
76793,刺客,135332,Believe In The Future 2020 WEB-DL 4k H265 AAC-HDSWEB,相信未来 在线义演第一场 20200504期,5.13GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-04 22:03:26,2000,,,2020-05-11 23:47:37.741845
76793,刺客,135334,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第01集 | 主演：任嘉伦 李曼,0.5GB,HDSWEB,电视剧分集,2K/1080p,,,,,,2020-05-04 22:14:11,2000,,,2020-05-11 23:47:37.741845
76793,刺客,135335,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第01集 | 主演：任嘉伦 李曼,1.22GB,HDSWEB,电视剧分集,4k/2160p,,,,,,2020-05-04 22:17:47,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135336,Believe In The Future 2020 WEB-DL 1080p H264 AAC-HDSWEB,相信未来 在线义演第一场 20200504期,1.66GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-04 22:33:56,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135375,Girlfriend 2020 WEB-DL 1080p H264 AAC-HDSWEB,楼下女友请签收 第31-32集 | 主演：王冠逸 徐好,1.77GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-05 09:34:46,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135451,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第02-03集 | 主演：任嘉伦 李曼,2.69GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-05 22:19:02,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135454,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第02-03集 | 主演：任嘉伦 李曼,1.19GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-05 22:23:15,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135488,Believe In The Future 2020 WEB-DL 1080p H264 AAC-HDSWEB,相信未来 在线义演第二场 第20200505期,2.95GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-06 08:50:42,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135623,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第04-05集 | 主演：任嘉伦 李曼,0.88GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-07 09:34:16,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135624,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第04-05集 | 主演：任嘉伦 李曼,2.71GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-07 09:40:53,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135702,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第25-26集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,3.04GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-07 20:20:27,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135743,Animal Impossible 2020 WEB-DL 1080p H264 AAC 3Auido-HDSWEB,不可思议的动物 第01集 | 主演：提姆·沃伍德 亚当·根德尔 [国粤英三语] [中英字幕],1.46GB,HDSWEB,纪录片,2K/1080p,,,,是,,2020-05-08 06:11:14,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135744,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第25-26集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.36GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-08 06:22:23,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135756,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第06-07集 | 主演：任嘉伦 李曼,0.87GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-08 08:59:05,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135785,Believe In The Future 2020 WEB-DL 4k H265 AAC-HDSWEB,相信未来 在线义演第二场 第20200505期,4.07GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-08 14:41:34,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135852,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第06-09集 | 主演：任嘉伦 李曼,7.64GB,HDSWEB,电视剧分集,4k/2160p,4,,,,,2020-05-09 00:10:31,8000,,,2020-05-11 23:47:37.742845
76793,刺客,135877,Singer S04 2020 WEB-DL 1080p H264 AAC-HDSWEB,歌手·当打之年 全12期打包 | 主演:米希亚 华晨宇 袁娅维 周深 萧敬腾 [无台标],33.76GB,HDSWEB,综艺,2K/1080p,,12,,,,2020-05-09 08:57:47,0,打包新资源无魔力,,2020-05-11 23:47:37.742845
76793,刺客,135879,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第08-09集 | 主演：任嘉伦 李曼,0.9GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-09 09:09:50,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135918,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第27-28集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.32GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-09 13:56:23,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135919,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第27-28集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,2.98GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-09 14:00:06,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135932,Back To Field S04 2020 WEB-DL 1080p H264 AAC-HDSWEB,向往的生活第四季 / 向往的生活4 第20200508期 | 主演：何炅 黄磊 张子枫 彭昱畅 [无台标],2.89GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-09 16:18:00,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135950,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第29-30集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,3.05GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-09 20:35:01,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135953,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第29-30集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.36GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-09 21:03:34,4000,,,2020-05-11 23:47:37.742845
76793,刺客,135970,Believe In The Future 2020 WEB-DL 4k H265 AAC-HDSWEB,相信未来 在线义演第三场 第20200509期,8.17GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-09 22:27:15,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135996,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第10集 | 主演：任嘉伦 李曼,0.5GB,HDSWEB,电视剧分集,2K/1080p,,,,,,2020-05-10 08:58:02,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135998,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第10集 | 主演：任嘉伦 李曼,1.88GB,HDSWEB,电视剧分集,4k/2160p,,,,,,2020-05-10 09:04:24,2000,,,2020-05-11 23:47:37.742845
76793,刺客,135999,Believe In The Future 2020 WEB-DL 1080p H264 AAC-HDSWEB,相信未来 在线义演第三场 第20200509期,3.0GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-10 09:22:28,2000,,,2020-05-11 23:47:37.742845
76793,刺客,136038,The House On The Slope 2019 WEB-DL 4k H265 AAC-HDSWEB,日剧 坡道上的家/坡道途中的家 全6集 | 主演: 柴崎幸 水野美纪 伊藤步 [简中字幕],5.12GB,HDSWEB,剧集（合集）,4k/2160p,,,6,,,2020-05-10 15:21:25,9000,,,2020-05-11 23:47:37.742845
76793,刺客,136076,Legend Of Awakening 2020 WEB-DL 1080p H264 AAC-HDSWEB,天醒之路 第31-32集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,1.41GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-10 21:53:39,4000,,,2020-05-11 23:47:37.742845
76793,刺客,136112,Legend Of Awakening 2020 WEB-DL 4k H265 AAC-HDSWEB,天醒之路 第31-32集 | 主演：陈飞宇 熊梓淇 程潇 邓恩熙,3.11GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-11 07:53:03,4000,,,2020-05-11 23:47:37.742845
76793,刺客,136115,Girlfriend 2020 WEB-DL 1080p H264 AAC-HDSWEB,楼下女友请签收 第33-36集 | 主演：王冠逸 徐好,3.47GB,HDSWEB,电视剧分集,2K/1080p,4,,,,,2020-05-11 08:14:07,8000,,,2020-05-11 23:47:37.742845
76793,刺客,136116,Cicada Of Autumn 2020 WEB-DL 1080p H264 AAC-HDSWEB,秋蝉 第11-12集 | 主演：任嘉伦 李曼,0.86GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-11 08:47:51,4000,,,2020-05-11 23:47:37.742845
76793,刺客,136118,Girlfriend 2020 WEB-DL 1080p H264 AAC-HDSWEB,楼下女友请签收 全36集打包 | 主演：王冠逸 徐好,32.22GB,HDSWEB合集专用,剧集（合集）,2K/1080p,,36,,,,2020-05-11 09:03:13,0,打包新资源无魔力,,2020-05-11 23:47:37.742845
76793,刺客,136152,Cicada Of Autumn 2020 WEB-DL 4k H265 AAC-HDSWEB,秋蝉 第11-12集 | 主演：任嘉伦 李曼,3.9GB,HDSWEB,电视剧分集,4k/2160p,2,,,,,2020-05-11 15:21:20,4000,,,2020-05-11 23:47:37.742845
76793,刺客,136171,Super Mom S03 2018 WEB-DL 4k H265 AAC-HDSWEB,妈妈是超人第三季 全13期 | 主演：黄圣依 霍思燕 贾静雯,36.97GB,HDSWEB合集专用,综艺,4k/2160p,,,13,,,2020-05-11 18:45:36,19500,,,2020-05-11 23:47:37.742845
76793,刺客,,,,,,,,,,,,,,,,235500,
46341,kkx76,135548,No Guns Life 2019 WEB-DL 1080p H264 AAC-HDSWEB,非枪人生 全12集 | 主演: 诹访部顺一 山下大辉 (简体中文硬字幕),4.5GB,HDSWEB,动漫,2K/1080p,,,13,,,2020-05-06 19:25:02,13000,,,2020-05-11 23:47:39.021866
46341,kkx76,,,,,,,,,,,,,,,,13000,
85329,小翼,135460,Airport Security Unit 2020 V2 WEB-DL 4k H265 AAC 2Audio-HDSWEB,机场特警 / 機場特警 全25集 | 主演: 张振朗 蔡思贝  [国粤双语],68.68GB,HDSWEB,剧集（合集）,4k/2160p,,,25,是,,2020-05-05 22:59:03,50000,,,2020-05-11 23:47:40.338610
